,id,question,company,answer
0,1,湖南长远锂科股份有限公司变更设立时作为发起人的法人有哪些？,湖南长远锂科股份有限公司,变更设立时作为发起人的法人包括长远锂科(原名湖南长远锂科有限公司)、长沙矿冶院以及金瑞科技。
1,6,云南沃森生物技术股份有限公司负责产品研发的是什么部门？,云南沃森生物技术股份有限公司,研发管理部。
2,10,本次发行前，大连派思燃气系统股份有限公司的控股股东持有公司的多少股份？占公司总股份的多少？,大连派思燃气系统股份有限公司,本次发行前，控股股东持有公司的股份为75%，占公司总股本的份额为75%。
3,13,近三年，广东银禧科技股份有限公司总资产周转率分别为多少？,广东银禧科技股份有限公司,公司近三年的总资产周转率分别为1.84次、1.50次和1.56次。
4,15,云南沃森生物技术股份有限公司生产的A、C脑膜炎球菌多糖结合疫苗产品具有哪些较强的竞争优势？,云南沃森生物技术股份有限公司,冻干 A、C 群脑膜炎球菌多糖结合疫苗产品具有较高的内毒素含量、游离多糖含量、多糖含量、免疫原性、异常毒性等关键指标方面的优势，并且超过了欧洲药典的标准，同时具有更高的安全性和有效性。此外，该产品采用冻干剂型，能够更好地保证疫苗在有效期内的安全性和有效性。另外，该产品还具有较强的专利技术基础和市场竞争优势。
5,16,根据联化科技股份有限公司招股意见书，精细化工产品的通常利润率是多少？,联化科技股份有限公司,根据招股意见书，精细化工产品的通常利润率是在25%-30%之间。
6,17,各报告期末，江苏旷达汽车织物集团股份有限公司存货分别为多少万元？占流动资产的比例分别多少？,江苏旷达汽车织物集团股份有限公司,"各报告期末，存货分别为12,209.88万元、10,229.46万元、14,620.58万元和14,770.76万元。占流动资产的比例分别为35.09%、31.27%、29.02%和31.76%。"
7,21,华瑞电器股份有限公司获得多少项国内专利？其中有多上项发明专利？,华瑞电器股份有限公司,截止2016年12月31日，公司共获得授权专利36项，其中发明專利13项，实用新型專利23项。
8,24,深圳信立泰药业股份有限公司注射用头孢西丁钠（信希汀、1.0克装）在2006 年、2007 年、2008 年、2009 年1-6 月的最高零售价格分别为多少？,深圳信立泰药业股份有限公司,"注射用头孢西丁钠（信希汀、1.0克装）在2006年、2007年、2008年、2009年1-6月的最高零售价格分别为42.20元、42.20元、42.20元/盒和42.20元/盒"
9,33,报告期内，武汉兴图新科电子股份有限公司来自军用领域的收入占主营业务收入的比重分别是多少？,武汉兴图新科电子股份有限公司,3433.34万元、6277.49万元、5611.52万元和552.83万元，占主营业务收入比分别为43.61%、42.38%、28.34%和11.27%。
10,34,根据武汉兴图新科电子股份有限公司招股意向书，电子信息行业的上游涉及哪些企业？,武汉兴图新科电子股份有限公司,我国电子信息行业规模较大，各公司业务领域侧重点有所区别。主要包括信息系统相关的电子元器件制造企业和机箱、机柜等金属壳体制造企业。
11,39,在2008年，东莞勤上光电股份有限公司在景观亮化半导体照明领域的市场占有率为多少？,东莞勤上光电股份有限公司,景观亮化半导体照明领域的市场占有率: 3.88%
12,40,湖南南岭民用爆破器材股份有限公司的控股股东是谁？,湖南南岭民用爆破器材股份有限公司,湖南省南岭化工厂
13,41,在研发方面，上海真兰仪表科技股份有限公司利用哪三地的人才优势，成立研发中心，组建了“三位一体”的研发体系？,上海真兰仪表科技股份有限公司, 公司建立了上海、北京、西安“三位一体”的研发体系，上海研发中心负责统筹管理产品方案、设计、开发、测试、发布等各项工作。
14,44,常熟风范电力设备股份有限公司的机器设备成新率是多少？,常熟风范电力设备股份有限公司,98%
15,45,2009年、2010年及2011年，海南双成药业股份有限公司销售费用分别为多少？,海南双成药业股份有限公司," 2009年、2010年及2 011年，公司销售费用分别为1,145.91万元、534.53万元和546.95万元。"
16,46,内蒙古君正能源化工股份有限公司的法定代表人是谁？,内蒙古君正能源化工股份有限公司,黄辉
17,47,联化科技股份有限公司的主营业务包括哪两部分？,联化科技股份有限公司,该公司的主营业务包括精细化工产品和医药中间体系列产品的生产与经营。
18,49,读者出版传媒股份有限公司的主要纸张供应商有哪些？,读者出版传媒股份有限公司,"以下是根据给定材料回答问题的结果：
主要纸张供应商有中国纸业投资有限公司、岳阳林纸股份有限公司、山东太阳纸业股份有限公司、APP金光集团、芬欧汇川集团、斯道拉恩索集团等。"
19,50,2014年大连派思燃气系统股份有限公司经营业绩下降的主要原因是什么？,大连派思燃气系统股份有限公司," 2014年公司经营业绩下降的主要原因有以下几点：
(1) 公司的业务特点是公司主要产品为非标设备，具有合同金额差异较大的特点。由于燃气电厂所用的燃气轮机机组数量和型号功率不同、燃气介质参数不同，以及燃气电厂的投资规模不同，都会对公司产品的配置和合同金额产生较大的影响，从而导致该类产品的销售收入存在较大的波动。2014 年公司增压站（配压缩机）销售收入下降是导致主营业务收入下降的直接原因。
(2) 2014 年公司主营产品销售数量为 114 套，较 2013 年增加 22 套，但是由于增压站（配压缩机）业务销售收入下降明显，虽然其他产品销售收入增加，但是未能抵顶增压站（配压缩机）销售收入下降的影响，因此导致 2014 年主营业务收入较 2013 年下降 1,980.34 万元。
(3) 2014 年公司财务费用较 2013 年增加 416.70 万元，管理费用较 2013 年增加 289.00 万元，其中主要是因为公司生产规模的扩大和募投项目建设的持续投入，导致公司依赖银行贷款满足资金需求，从而增加利息支出，同时受到欧元汇率波动的影响，公司汇兑损失也有所增加，此外为了支持公司业务的拓展，公司加大了人员招聘和差旅费等方面的投入，从而增加了管理费用。"
