,id,question,formatted_answer
0,0,请帮我计算，在20210105，中信行业分类划分的一级行业为综合金融行业中，涨跌幅最大股票的股票代码是？涨跌幅是多少？百分数保留两位小数。股票涨跌幅定义为：（收盘价 - 前一日收盘价 / 前一日收盘价）* 100%。,在20210105，中信行业分类划分的一级行业为综合金融行业中，涨跌幅最大的股票代码是XXX，涨跌幅为XX.XX%。
1,2,请帮我查询出20210415日，建筑材料一级行业涨幅超过5%（不包含）的股票数量。,根据查询结果显示，20210415日，建筑材料一级行业涨幅超过5%（不包含）的股票数量为2192只。
2,3,请查询在2021年度，688338股票涨停天数？   解释：（收盘价/昨日收盘价-1）》=9.8% 视作涨停,在2021年度，688338股票涨停的天数为1天。
3,4,20210304日，一级行业为非银金融的股票的成交量合计是多少？取整。,很抱歉，根据提供的答案，无法得出问题的完整答案句。请提供正确的问题和答案，我将尽力为您提供准确的回答。
4,5,嘉实基金管理有限公司2019年成立了多少基金?,嘉实基金管理有限公司在2019年成立了55只基金。
5,7,2021年三季度，有多少家基金发生了净赎回?总共赎回了多少份额?记得给我四舍五入到小数点后两位哦。,2021年三季度没有基金发生净赎回，因此总共赎回的份额为0份。
6,8,"请帮我查询下，在20190605，中信行业分类里一级行业为石油石化行业的所有股票里, 成交金额(元)最多的股票的代码是什么？成交金额是多少？","根据您提供的信息，在20190605，中信行业分类里一级行业为石油石化行业的所有股票中，成交金额最多的股票的代码是""ambiguous column name: 股票代码""，成交金额为""ambiguous column name: 成交金额""元。"
7,9,股票002244在20191220日期中的收盘价是多少?（小数点保留3位）,股票002244在20191220日期中的收盘价是4.670。
8,11,请问2019年三季度有多少家基金是净申购?它们的净申购份额加起来是多少?请四舍五入保留小数点两位。,2019年三季度共有4059家基金是净申购，它们的净申购份额加起来是-31450009358.73（单位：元），四舍五入保留小数点两位。
9,12,帮我查一下湘财长弘灵活配置混合A基金在20210419的资产净值和单位净值是多少?,湘财长弘灵活配置混合A基金在20210419的资产净值为X元，单位净值为Y元。
10,14,我想知道安信稳健回报6个月持有期混合A基金在20211231的年报(含半年报)中，其可转债持仓占比最大的是哪个行业？用中信一级行业来统计。,在安信稳健回报6个月持有期混合A基金的20211231年报(含半年报)中，可转债持仓占比最大的行业是银行。
11,18,2019年中期报告里，华夏基金管理有限公司管理的基金中，机构投资者持有份额比个人投资者多的基金有多少只?,根据2019年中期报告，华夏基金管理有限公司管理的基金中，没有提供关于机构投资者持有份额比个人投资者多的基金数量的相关数据。
12,19,"假设股票日收益率计算公式为：日收益率 = （当日收盘价-昨收盘价）/昨收盘价。请帮我找到在2021年，申万行业分类行业划分标准,银行一级行业中, 代码为多少的股票的日均收益率最高？","在2021年，申万行业分类行业划分标准中，银行一级行业中，代码为多少的股票的日均收益率最高这个问题中，由于答案中提到了""ambiguous column name: 股票代码""，说明在给定的数据中存在股票代码这一列，但是存在歧义，无法确定具体的股票代码。因此，无法给出具体的代码。"
13,20,在20201022，按照中信行业分类的行业划分标准，哪个一级行业的A股公司数量最多？,根据20201022的中信行业分类的行业划分标准，A股公司数量最多的一级行业是机械，共有516家公司。
14,22,我想知道招商安润灵活配置混合A基金，在2021年半年度报告中，前10大重仓股中，有多少只股票在报告期内取得正收益。,在2021年半年度报告中，招商安润灵活配置混合A基金的前10大重仓股中，有69只股票在报告期内取得了正收益。
15,23,帮我查询在2020年12月31日，代码为007678的基金前20大重仓股票中属于中信二级照明电工及其他行业的平均市值是多少？小数点后保留不超过3位。,很抱歉，我无法提供您所需的答案。
16,25,请帮我查询出20190121日，非银行金融一级行业涨幅超过5%（不包含）的股票数量。,根据查询结果显示，20190121日，非银行金融一级行业涨幅超过5%（不包含）的股票数量为1096只。
17,26,请查询：在20190118，属于申万二级银行行业的A股股票，它们的平均成交金额是多少？小数点后保留不超过5位。,根据提供的信息，无法查询到在20190118属于申万二级银行行业的A股股票的平均成交金额。
18,27,中国铁路通信信号股份有限公司的主要经营模式是怎样的？,中国铁路通信信号股份有限公司的主要经营模式是以铁路通信信号设备的研发、生产、销售和服务为核心，同时提供相关技术咨询、工程设计、施工安装、系统集成、运维维修等全方位的解决方案。公司通过与铁路运输企业合作，为其提供先进的通信信号设备和技术支持，以确保铁路运输的安全和高效运营。此外，公司还积极拓展国内外市场，参与国际工程项目，推动中国铁路通信信号技术的国际化。
19,28,请查询：在2021的年度报告中，个人投资者持有基金份额大于机构投资者持有基金份额的基金属于货币型类型的有几个。,在2021年度报告中，没有提供基金类型的相关数据，因此无法确定个人投资者持有基金份额大于机构投资者持有基金份额的货币型基金数量。
20,29,我想知道圆信永丰高端制造混合基金，在2020年半年度报告中，前10大重仓股中，有多少只股票在报告期内取得正收益。,在2020年半年度报告中，圆信永丰高端制造混合基金的前10大重仓股中，没有任何股票在报告期内取得正收益。
21,30,在2019年的中期报告里，金鹰基金管理有限公司管理的基金中，有多少比例的基金是个人投资者持有的份额超过机构投资者？希望得到一个精确到两位小数的百分比。,"在2019年的中期报告中，金鹰基金管理有限公司管理的基金中，无法确定个人投资者持有的份额超过机构投资者的比例，因为答案中提到的""管理人""列不存在。"
22,31,在2019年12月季报中，持有大亚圣象这一股票且市值占基金资产净值比不小于5%的有几只基金？,在2019年12月季报中，持有大亚圣象这一股票且市值占基金资产净值比不小于5%的基金数量为0只。
23,32,我想知道在2019年，金信基金管理有限公司已发行的基金中，有多少只基金报告期期初基金总份额小于报告期期末基金总份额(使用每只基金当年最晚的定期报告数据计算)？,在2019年，金信基金管理有限公司已发行的基金中，有10只基金报告期期初基金总份额小于报告期期末基金总份额。
24,35,请查询在2019年度，603789股票涨停天数？   解释：（收盘价/昨日收盘价-1）》=9.8% 视作涨停,在2019年度，603789股票涨停的天数为1天。
25,36,请查询在2020年度，600076股票涨停天数？   解释：（收盘价/昨日收盘价-1）》=9.8% 视作涨停,在2020年度，600076股票涨停的天数为2天。
