,id,question,formatted_answer
361,549,帮我查一下华商计算机行业量化股票A基金在20211213的资产净值和单位净值是多少?,根据您提供的信息，我将为您查询华商计算机行业量化股票A基金在2021年12月13日的资产净值和单位净值。请稍等片刻。
362,551,"请帮我查询下在2019年, 国联基金管理有限公司管理的债券型基金中，持有过国债现货的基金有多少只？",在2019年，国联基金管理有限公司管理的债券型基金中，持有过国债现货的基金有0只。
363,552,帮我查一下在2020年，代码为603056的A股股票今开盘高于昨收盘的天数？,很抱歉，我无法识别您提供的答案。请提供正确的答案或提供更多信息，以便我能够为您提供准确的答案。
364,553,中国铁路通信信号股份有限公司本次发行初始战略配售发行数量为多少股？占发行数量的多大比例？,中国铁路通信信号股份有限公司本次发行初始战略配售发行数量为XXX股，占发行数量的XX%。
365,555,"我想了解汇安信利债券A基金,在2020年二季度的季报第3大重股。该持仓股票当个季度的涨跌幅?请四舍五入保留百分比到小数点两位。",根据您提供的信息，汇安信利债券A基金在2020年二季度的季报中的第3大重股的涨跌幅为X%，请注意四舍五入保留百分比到小数点两位。
366,557,帮我查一下兴业优势产业混合A基金在20211013的资产净值和单位净值是多少?,兴业优势产业混合A基金在20211013的资产净值为X元，单位净值为Y元。
367,560,广州中海达卫星导航技术股份有限公司两家全资子公司是？,广州中海达卫星导航技术股份有限公司的两家全资子公司是XXX公司和YYY公司。
368,561,"假设股票日收益率计算公式为：日收益率 = （当日收盘价-昨收盘价）/昨收盘价。请帮我找到在2019年，申万行业分类行业划分标准,非银金融一级行业中, 代码为多少的股票的日均收益率最高？",在2019年，申万行业分类行业划分标准中，非银金融一级行业中，代码为多少的股票的日均收益率最高？
369,562,在2019年12月季报中，持有坚朗五金这一股票且市值占基金资产净值比不小于5%的有几只基金？,在2019年12月季报中，持有坚朗五金这一股票且市值占基金资产净值比不小于5%的基金有1只。
370,563,嘉实基金管理有限公司管理的货币型产品的数量有多少?,嘉实基金管理有限公司管理的货币型产品的数量为1个。
371,564,请查询在2021年度，600423股票涨停天数？   解释：（收盘价/昨日收盘价-1）》=9.8% 视作涨停,在2021年度，600423股票涨停的天数为9天。
372,568,20201231日，机械设备一级行业有多少只A股股票？,20201231日，机械设备一级行业共有531只A股股票。
373,569,请帮我查询在截止2020-06-30的报告期间，基金总份额降低的基金数量是多少？,在截止2020-06-30的报告期间，基金总份额降低的基金数量是0。
