,id,question,formatted_answer
465,711,获得多少项国内专利？其中有多上项发明专利？,很抱歉，我无法回答这个问题。
466,714,信澳慧管家货币B基金在20210630的季报里，前三大持仓占比的债券名称是什么?,信澳慧管家货币B基金在20210630的季报中，前三大持仓占比的债券名称分别为20国债、10国债。
467,715,查询下基金代码009250的基金，它的托管人是？,基金代码009250的基金的托管人是中国邮政储蓄银行股份有限公司。
468,716,我想知道招商安元灵活配置混合C基金在20191231的季报中，其可转债持仓占比最大的是哪个行业？用申万一级行业来统计。,招商安元灵活配置混合C基金在20191231的季报中，其可转债持仓占比最大的行业是传媒行业。
469,718,我想知道股票301096在申万行业分类下的二级行业是什么？用最新的数据。,股票301096在申万行业分类下的二级行业是其他医药医疗。
470,719,帮我查询在2020年12月31日，代码为009902的基金前20大重仓股票中属于中信二级生物医药Ⅱ行业的平均市值是多少？小数点后保留不超过3位。,很抱歉，我无法提供您所需的答案。
471,722,在2021年的中期报告里，易方达基金管理有限公司管理的基金中，有多少比例的基金是个人投资者持有的份额超过机构投资者？希望得到一个精确到两位小数的百分比。,在2021年的中期报告中，易方达基金管理有限公司管理的基金中，没有任何比例的基金是个人投资者持有的份额超过机构投资者。
472,725,在2021年12月年报(含半年报)中，国泰君安君得鑫两年持有期混合C基金持有市值最多的前10只股票中，所在证券市场是上海证券交易所的有几个？,在2021年12月年报(含半年报)中，国泰君安君得鑫两年持有期混合C基金持有市值最多的前10只股票中，有132只股票所在证券市场是上海证券交易所。
473,727,2021年中期报告里，西部利得基金管理有限公司管理的基金中，机构投资者持有份额比个人投资者多的基金有多少只?,在2021年中期报告中，西部利得基金管理有限公司管理的基金中，有15只基金机构投资者持有份额比个人投资者多。
474,728,"我想了解一下兴业基金管理有限公司2020年成立的混合型基金,其管理费率的平均值是多少?请四舍五入保留小数点两位。",兴业基金管理有限公司2020年成立的混合型基金的管理费率平均值为1.13。
475,730,在20201031，按照申万行业分类的行业划分标准，哪个一级行业的A股公司数量最多？,根据20201031的申万行业分类的行业划分标准，A股公司数量最多的一级行业是机械设备，共有531家公司。
476,731,请查询：在2021的年度报告中，个人投资者持有基金份额大于机构投资者持有基金份额的基金属于债券型类型的有几个。,在2021年度报告中，没有提供基金类型这一列，因此无法查询个人投资者持有基金份额大于机构投资者持有基金份额且属于债券型类型的基金数量。
477,732,我想知道易方达裕富债券A基金在20200630的季报中，其可转债持仓占比最大的是哪个行业？用申万一级行业来统计。,易方达裕富债券A基金在20200630的季报中，其可转债持仓占比最大的行业是电力设备。
478,733,报告期内，山东海看网络科技有限公司主要收入来源是什么？,报告期内，山东海看网络科技有限公司的主要收入来源无法确定，因为没有找到相关的公司财务报告表。
479,734,请问在非银金融行业，20190603行业的A股公司有多少?,在非银金融行业，20190603行业的A股公司共有80家。
480,736,查询下基金代码007059的基金，它的管理费率是？,基金代码007059的基金的管理费率是0.8%。
481,738,"请帮我查询下在2019年, 山西证券股份有限公司管理的债券型基金中，持有过公司债券的基金有多少只？",在2019年，山西证券股份有限公司管理的债券型基金中，持有过公司债券的基金有0只。
482,739,我想知道建信基金管理有限责任公司在2020年成立了多少只管理费率小于0.8%的基金？,建信基金管理有限责任公司在2020年成立了17只管理费率小于0.8%的基金。
483,740,"请帮我查询下在2020年, 安信基金管理有限责任公司管理的债券型基金中，持有过超短期融资券的基金有多少只？",在2020年，安信基金管理有限责任公司管理的债券型基金中，持有过超短期融资券的基金有2只。
484,741,"请查询：2019年12月年报(含半年报),持有19农业银行CD207且是前10大重仓股的基金有几个？",根据查询结果显示，持有19农业银行CD207且是前10大重仓股的基金共有5个。
485,743,请查询在20210301日期，中信行业分类下电子一级行业中，当日收盘价波动最大（即最高价与最低价之差最大）的股票代码是什么？,在20210301日期，中信行业分类下电子一级行业中，当日收盘价波动最大的股票代码是什么？
486,745,山东海看网络科技有限公司所属行业的主要监管部门是什么？,山东海看网络科技有限公司所属行业的主要监管部门是山东省通信管理局。
487,747,我想知道易方达恒盛3个月定期开放混合基金在20210930的季报中，其可转债持仓占比最大的是哪个行业？用申万一级行业来统计。,易方达恒盛3个月定期开放混合基金在20210930的季报中，其可转债持仓占比最大的行业是申万一级行业中的XXX行业。
488,748,我想知道汇添富悦享定期开放混合基金，在2021年年度报告中，前10大重仓股中，有多少只股票在报告期内取得正收益。,在汇添富悦享定期开放混合基金的2021年年度报告中，前10大重仓股中没有任何股票在报告期内取得正收益。
489,749,我想知道股票300645在申万行业分类下的二级行业是什么？用最新的数据。,股票300645在申万行业分类下的二级行业是计算机设备。
490,751,"请查询：2020年12月年报(含半年报),持有20交投Y4且是前10大重仓股的基金有几个？",根据查询结果显示，2020年12月年报(含半年报)中持有20交投Y4且是前10大重仓股的基金数量为0个。
491,753,20201027日，请给出华安添瑞6个月持有期混合C基金的管理人和累计单位净值。,华安添瑞6个月持有期混合C基金的管理人是华安基金管理有限公司，累计单位净值为1.0448。
492,758,我想知道交银施罗德可转债债券C基金在20200331的季报中，其可转债持仓占比最大的是哪个行业？用申万一级行业来统计。,根据交银施罗德可转债债券C基金在20200331的季报显示，其可转债持仓占比最大的行业是银行。
493,759,在2020年12月季报中，持有温氏股份这一股票且市值占基金资产净值比不小于5%的有几只基金？,在2020年12月季报中，持有温氏股份这一股票且市值占基金资产净值比不小于5%的有2只基金。
