,id,question,formatted_answer
348,530,帮我查询在2020年12月31日，代码为007840的基金前20大重仓股票中属于中信二级半导体行业的平均市值是多少？小数点后保留不超过3位。,很抱歉，我无法为您提供答案。
349,532,请帮我查询下股票代码为600595的股票在2019年内最高日收盘价是多少？,股票代码为600595的股票在2019年内的最高日收盘价是3.31。
350,534,博时基金管理有限公司2020年成立了多少基金?,博时基金管理有限公司在2020年成立了82只基金。
351,535,我想知道在2021年，格林基金管理有限公司已发行的基金中，有多少只基金报告期期初基金总份额小于报告期期末基金总份额(使用每只基金当年最晚的定期报告数据计算)？,在2021年，格林基金管理有限公司已发行的基金中，有19只基金报告期期初基金总份额小于报告期期末基金总份额。
352,536,我想知道兴银研究精选股票A基金，在2021年年度报告中，前10大重仓股中，有多少只股票在报告期内取得正收益。,在兴银研究精选股票A基金的2021年年度报告中，前10大重仓股中有30只股票在报告期内取得了正收益。
353,537,20200326日，开盘价较上一交易日最高价高的股票有多少只？（如上一交易日没有某只股票，则不统计在内）,20200326日，开盘价较上一交易日最高价高的股票共有0只。
354,538,我想知道在20210630的季报里，招商MSCI中国A股国际通ETF联接C投资的股票分别是哪些申万一级行业？,在20210630的季报里，招商MSCI中国A股国际通ETF联接C投资的股票分别属于汽车申万一级行业。
355,539,请帮我计算，在20200617，中信行业分类划分的一级行业为商贸零售行业中，涨跌幅最大股票的股票代码是？涨跌幅是多少？百分数保留两位小数。股票涨跌幅定义为：（收盘价 - 前一日收盘价 / 前一日收盘价）* 100%。,在20200617，中信行业分类划分的一级行业为商贸零售行业中，涨跌幅最大的股票代码是XXX，涨跌幅为XX.XX%。
356,540,"请帮我查询在2020年,万家基金管理有限公司成立哪种类型的基金个数最多?",在2020年，万家基金管理有限公司成立的基金中，混合型基金的个数最多，共有15只。
357,542,我想知道股票300321在申万行业分类下的二级行业是什么？用最新的数据。,股票300321在申万行业分类下的二级行业是其他化学制品Ⅱ。
358,546,我想知道红土创新稳进混合C基金在20201231的年报(含半年报)中，其可转债持仓占比最大的是哪个行业？用中信一级行业来统计。,根据红土创新稳进混合C基金在20201231年报(含半年报)显示，其可转债持仓占比最大的行业是公用事业，占比为20039386752.0。
