,id,question,formatted_answer
133,213,平安惠添纯债债券基金在20190930的季报里，前三大持仓占比的债券名称是什么?,根据平安惠添纯债债券基金20190930的季报，前三大持仓占比的债券名称分别为XXX、XXX和XXX。
134,214,帮我查询在2020年12月31日，代码为011131的基金前20大重仓股票中属于中信二级生物医药Ⅱ行业的平均市值是多少？小数点后保留不超过3位。,很抱歉，我无法理解你的问题。请提供正确的问题和答案，我将尽力帮助你。
135,216,在2019年11月16日，使用中信行业分类标准，股票代码003004是属于哪个一级行业的?,股票代码003004在2019年11月16日，根据中信行业分类标准属于电子一级行业。
136,218,"我想了解一下红塔红土基金管理有限公司2019年成立的债券型基金,其管理费率的平均值是多少?请四舍五入保留小数点两位。",红塔红土基金管理有限公司2019年成立的债券型基金的管理费率平均值为0.3，四舍五入保留小数点两位。
137,219,我想知道股票000809在申万行业分类下的二级行业是什么？用最新的数据。,股票000809在申万行业分类下的二级行业是房地产开发和运营。
138,221,请帮我计算，代码为603108的股票，2020年一年持有的年化收益率有多少？百分数请保留两位小数。年化收益率定义为：（（有记录的一年的最终收盘价-有记录的一年的年初当天开盘价）/有记录的一年的当天开盘价）* 100%。,根据提供的信息，我们需要知道2020年一年持有的股票代码为603108的股票的年初当天开盘价和年末收盘价。由于答案中没有提供这些数据，无法计算出年化收益率。请提供相应的数据以便计算。
139,223,"我想了解一下西部利得基金管理有限公司2020年成立的债券型基金,其管理费率的平均值是多少?请四舍五入保留小数点两位。",西部利得基金管理有限公司2020年成立的债券型基金的管理费率平均值为0.44，四舍五入保留小数点两位。
140,224,在2020年5月2日，使用中信行业分类标准，股票代码600483是属于哪个一级行业的?,根据2020年5月2日使用中信行业分类标准，股票代码600483属于电力设备及新能源一级行业。
141,225,请帮我查询出20200713日，公用事业一级行业涨幅超过5%（不包含）的股票数量。,根据查询结果显示，20200713日，公用事业一级行业涨幅超过5%（不包含）的股票数量为167091只。
142,227,20201231日，轻工制造一级行业有多少只A股股票？,20201231日，轻工制造一级行业共有310只A股股票。
143,228,20200204日，开盘价较上一交易日最高价高的股票有多少只？（如上一交易日没有某只股票，则不统计在内）,根据提供的答案，我无法完整写出答案句。请提供正确的答案信息。
144,229,请帮我查询下，在2019年Q4季报报告中，007837基金的第一大重仓可转债同期还有多少只基金也进行了持仓？,在2019年Q4季报报告中，007837基金的第一大重仓可转债同期还有33只基金也进行了持仓。
145,232,20200706日，一级行业为机械的股票的成交金额合计是多少？取整。,20200706日，一级行业为机械的股票的成交金额合计是72456102478128.0元。
146,233,我想知道2020年的年度报告中，机构投资者持有的份额占比超过75%的基金有多少，并且他们总共持有了多少?记得帮我保留两位小数。,根据2020年的年度报告，有超过75%的基金中，机构投资者持有的份额占比超过75%的基金共有3501454511399.63份。
147,234,嘉实基金管理有限公司管理的其他型产品的数量有多少?,嘉实基金管理有限公司管理的其他型产品的数量为30个。
148,235,在2020年12月年报(含半年报)中，富安达科技领航混合A基金持有市值最多的前10只股票中，所在证券市场是深圳证券交易所的有几个？,在2020年12月年报(含半年报)中，富安达科技领航混合A基金持有市值最多的前10只股票中，有67只股票所在证券市场是深圳证券交易所。
149,236,"我想了解九泰聚鑫混合C基金,在2020年四季度的季报第1大重股。该持仓股票当个季度的涨跌幅?请四舍五入保留百分比到小数点两位。",九泰聚鑫混合C基金在2020年四季度的季报中，持有的第1大重股的涨跌幅为-97.21%。
150,237,我想知道股票300897在申万行业分类下的二级行业是什么？用最新的数据。,股票300897在申万行业分类下的二级行业是仪器仪表。
151,238,请帮我查询下股票代码为600977的股票在2019年内最高日收盘价是多少？,股票代码为600977的股票在2019年内的最高日收盘价是21.64。
152,241,我想知道东方阿尔法优势产业混合C基金，在2021年年度报告中，前10大重仓股中，有多少只股票在报告期内取得正收益。,在2021年年度报告中，东方阿尔法优势产业混合C基金的前10大重仓股中，有30只股票在报告期内取得了正收益。
153,242,易方达基金管理有限公司2020年成立了多少基金?,易方达基金管理有限公司在2020年成立了65只基金。
154,245,20190723港股下跌的股票家数有多少家?,20190723港股下跌的股票家数有元家。
155,247,20210930日，一级行业为机械的股票的成交金额合计是多少？取整。,20210930日，一级行业为机械的股票的成交金额合计是63177077445370.0元。
156,248,20210607日，一级行业为公用事业的股票的成交量合计是多少？取整。,很抱歉，根据提供的答案，无法得出完整的答案句。请提供正确的问题和答案，我将尽力为您提供准确的回答。
157,250,我想知道鹏扬景科混合A基金，在2020年半年度报告中，前10大重仓股中，有多少只股票在报告期内取得正收益。,在鹏扬景科混合A基金的2020年半年度报告中，前10大重仓股中没有任何股票在报告期内取得正收益。
158,251,针对2020年的年度报告，有多少家基金的个人投资者持有份额占比不足80%?,根据2020年的年度报告，有3014家基金的个人投资者持有份额占比不足80%。
159,252,我想知道大成高新技术产业股票C基金，在2021年年度报告中，前10大重仓股中，有多少只股票在报告期内取得正收益。,在2021年年度报告中，大成高新技术产业股票C基金的前10大重仓股中，有30只股票在报告期内取得了正收益。
160,253,帮我查一下在2021年，代码为300238的A股股票今开盘高于昨收盘的天数？,"很抱歉，我无法识别问题中的""昨收盘(元)""这个词组。请提供正确的问题和答案，我将尽力为您提供帮助。"
161,254,20210121日，开盘价较上一交易日最高价高的股票有多少只？（如上一交易日没有某只股票，则不统计在内）,20210121日，开盘价较上一交易日最高价高的股票有0只。
162,255,我想知道国寿安保国证创业板中盘精选88ETF基金，在2021年半年度报告中，前10大重仓股中，有多少只股票在报告期内取得正收益。,在2021年半年度报告中，国寿安保国证创业板中盘精选88ETF基金的前10大重仓股中，没有任何股票在报告期内取得正收益。
163,256,请帮我查询下股票代码为688010的股票在2019年内最高日收盘价是多少？,股票代码为688010的股票在2019年内的最高日收盘价是89.48。
164,257,我想知道2021年的中期报告中，机构投资者持有的份额占比超过66%的基金有多少，并且他们总共持有了多少?记得帮我保留两位小数。,"根据2021年的中期报告，有4616只基金的机构投资者持有的份额占比超过66%。同时，这些机构投资者总共持有了109,854,354,686.63元。"
165,263,"请帮我查询下，在20200826，申万行业分类里一级行业为综合行业的所有股票里, 成交金额(元)最多的股票的代码是什么？成交金额是多少？",在20200826，申万行业分类里一级行业为综合行业的所有股票中，成交金额最多的股票的代码是XXX，成交金额为YYY元。
166,264,广发招财短债债券A基金在20190930且报告类型是季报的持债市值中，哪类债券市值最高？,"在广发招财短债债券A基金于20190930且报告类型为季报的持债市值中，未能识别的令牌是""债券类型""。很抱歉，无法提供哪类债券市值最高的答案。"
167,266,我想知道浙江浙商证券资产管理有限公司在2019年成立了多少只管理费率小于0.8%的基金？,浙江浙商证券资产管理有限公司在2019年成立了7只管理费率小于0.8%的基金。
168,268,我想知道2021年的中期报告中，机构投资者持有的份额占比超过15%的基金有多少，并且他们总共持有了多少?记得帮我保留两位小数。,"根据2021年的中期报告，超过15%的基金中，鹏华添利宝货币B（基金代码：009824）是其中之一。机构投资者持有的份额占比为100.0%，总共持有额为879,500,402.87。"
169,269,创金合信鑫收益灵活配置混合E基金在20190930的季报里，前三大持仓占比的债券名称是什么?,创金合信鑫收益灵活配置混合E基金在20190930的季报中，前三大持仓占比的债券名称分别为19浙商银行CD036。
170,270,南方基金管理股份有限公司2019年成立了多少基金?,南方基金管理股份有限公司在2019年成立了66只基金。
171,271,请问股票代码为002641的股票在2021年内日成交量低于该股票当年平均日成交量的有多少个交易日？,股票代码为002641的股票在2021年内有153个交易日的日成交量低于该股票当年平均日成交量。
