,id,question,formatted_answer
601,935,请帮我查询下，在2021年09月的报告中，报告期基金总申购份额和报告期基金总赎回份额差额最大的一只基金的简称是什么？差额有多少？保留两位小数。,在2021年09月的报告中，报告期基金总申购份额和报告期基金总赎回份额差额最大的一只基金的简称是XXX基金，差额为XXXX份。
602,936,我想知道在20200930的季报里，东兴中证消费50指数C投资的股票分别是哪些申万一级行业？,在20200930的季报里，东兴中证消费50指数C投资的股票分别是000858，属于食品饮料申万一级行业。
603,938,帮我查一下上银中证500指数增强C基金在20210827的资产净值和单位净值是多少?,上银中证500指数增强C基金在20210827的资产净值为3960753241.24，单位净值为2.0751。
604,939,请帮我查询出20210712日，建材一级行业涨幅超过5%（不包含）的股票数量。,抱歉，我无法为您提供完整的答案句，因为您提供的信息中存在模糊的列名。如果您能提供更清晰的信息，我将会尽力为您提供准确的答案。
605,940,请帮我查询下，在2020年Q4季报报告中，008572基金的第一大重仓可转债同期还有多少只基金也进行了持仓？,在2020年Q4季报报告中，008572基金的第一大重仓可转债同期没有其他基金进行了持仓。
606,942,"在20190630的年报(含半年报)中，德邦锐兴债券A基金的债券持仓,其持有最大仓位的债券类型是什么?",在20190630的年报(含半年报)中，德邦锐兴债券A基金的债券持仓中，其持有最大仓位的债券类型是中期票据。
607,944,招商基金管理有限公司管理的股票型产品的数量有多少?,招商基金管理有限公司管理的股票型产品的数量有多少？
608,945,查询下基金代码009106的基金，它的托管费率是？,基金代码009106的基金，它的托管费率是0.15%。
609,949,在2019年1月27日，使用中信行业分类标准，股票代码002051是属于哪个一级行业的?,股票代码002051在2019年1月27日使用中信行业分类标准属于建筑一级行业。
610,950,查询下基金代码009104的基金，它的管理费率是？,基金代码009104的基金的管理费率是0.6%。
611,951,请查询：在20200629，属于申万二级金属非金属新材料行业的A股股票，它们的平均成交金额是多少？小数点后保留不超过5位。,在20200629，属于申万二级金属非金属新材料行业的A股股票的平均成交金额是136484628.175。
612,952,我想知道华夏创业板动量成长ETF基金，在2021年年度报告中，前10大重仓股中，有多少只股票在报告期内取得正收益。,华夏创业板动量成长ETF基金在2021年年度报告中，前10大重仓股中有250只股票在报告期内取得正收益。
613,953,我想知道淳厚基金管理有限公司在2019年成立了多少只管理费率小于0.8%的基金？,淳厚基金管理有限公司在2019年成立了2只管理费率小于0.8%的基金。
614,954,在20191007，按照申万行业分类的行业划分标准，哪个一级行业的A股公司数量最多？,根据20191007的申万行业分类的行业划分标准，A股公司数量最多的一级行业是机械设备，共有530家公司。
615,955,"请帮我查询在2019年,宏利基金管理有限公司成立哪种类型的基金个数最多?",在2019年，宏利基金管理有限公司成立的基金中，债券型基金的个数最多，共有3种。
616,959,博时双季享六个月持有期债券C基金在20210630的季报里，前三大持仓占比的债券名称是什么?,博时双季享六个月持有期债券C基金在20210630的季报里，前三大持仓占比的债券名称是21农发01。
617,961,国泰宏益一年持有期混合A基金在20210630且报告类型是年报(含半年报)的持债市值中，哪类债券市值最高？,在20210630且报告类型是年报(含半年报)的持债市值中，国泰宏益一年持有期混合A基金的中期票据市值最高，为20320000.0。
618,962,请查询：在2021的年度报告中，个人投资者持有基金份额大于机构投资者持有基金份额的基金属于股票型类型的有几个。,抱歉，我无法回答这个问题。
619,963,20191030日，成交金额最大的前三家上市公司的股票代码是什么？按成交金额从大到小给出,20191030日，成交金额最大的前三家上市公司的股票代码分别是601318、600519和601166。
620,968,20191231日，创世纪在多少只基金的前十大重仓股中？,20191231日，创世纪在16只基金的前十大重仓股中。
621,970,请问2019年一季度有多少家基金是净申购?它们的净申购份额加起来是多少?请四舍五入保留小数点两位。,2019年一季度共有496家基金是净申购，它们的净申购份额加起来是-22403777763.77（单位：元），四舍五入保留小数点两位。
622,973,请问2019年四季度有多少家基金是净申购?它们的净申购份额加起来是多少?请四舍五入保留小数点两位。,2019年四季度共有1563家基金是净申购，它们的净申购份额加起来是91616061953.31。
623,975,请查询：在20190304，属于申万二级电气自动化设备行业的A股股票，它们的平均成交金额是多少？小数点后保留不超过5位。,抱歉，根据您提供的信息，无法查询到20190304属于申万二级电气自动化设备行业的A股股票的平均成交金额。
624,976,"请查询：2019年12月年报(含半年报),持有15象屿MTN002且是前10大重仓股的基金有几个？",根据查询结果，2019年12月年报(含半年报)中持有15象屿MTN002且是前10大重仓股的基金数量为0。
625,977,帮我查一下易方达科融混合基金在20190426的资产净值和单位净值是多少?,很抱歉，我无法提供特定日期的基金净值信息。建议您直接咨询基金公司或者在基金公司的官方网站上查询相关信息。
